fusion_name,duration,range,description,concentration,components
Slip by Like Vapor,Up to 10 Min.,Touch,Touch one creature; they become an invisible gas with the same restrictions as Gaseous Form.,TRUE,"Invisibility, Gaseous Form"
Prescient Ignition,Instantaneous,120 Ft.,Scorching Ray's 3 beams no longer require a ranged spell attack and each ray deals an additional 1d4 force damage.,FALSE,"Magic Missile, Scorching Ray"
Prescient Conflagration,Instantaneous,120 Ft.,Target one creature; send a Fireball dart that detonates on one creature instead of an area. The dart deals 8d6 fire damage and 1d4 force damage.,FALSE,"Magic Missile, Fireball"
Flash Step,Instantaneous,30 Ft.,"Target one creature to swap places with. Unwilling creatures make a Constitution saving throw. On a success, neither creature is moved.",FALSE,"Misty Step, Vortex Warp"
Sonic Step,Instantaneous,90 Ft.,"Target one creature to swap places with. The targeted creature makes a Constitution saving throw, taking 3d10 thunder damage with a radius of 10 Ft. where you teleported from and swaps places with you on a failure. On a success, this spell uses the effect of Thunder Step and the other creature isn't teleported.",FALSE,"Vortex Warp, Thunder Step"
Ethereal Step,Instantaneous,Self,"Roll a d20 at the start of your turn. On an 11 or higher, you shift into the Ethereal Plane when moving that turn and reappear during actions that split up your movement. You Blink as normal at the end of your turn if you rolled an 11 or higher at the start of your turn.",FALSE,"Misty Step, Blink"
Shadow Clones,1 Min.,Self,The base AC of your illusory duplicates becomes 13 + your Dexterity modifier.,FALSE,"Mage Armor, Mirror Image"
Scholar's Whisperings,1 Hr.,Self,"In addition to the benefits of Comprehend Languages and Tongues, you no longer need to be touching the surface the language is written on to read it.",FALSE,"Comprehend Languages, Tongues"
Speed Reading,Up to 1 Hr.,Self,Your reading speed is quadrupled and you gain the benefits of Comprehend Languages.,TRUE,"Comprehend Languages, Haste"
Aegis of the Element,1 round,Self,You have immunity to a damage type specified by Absorb Elements for 1 round. The spell de-Fusions back to Protection from Energy when its duration ends.,FALSE,"Absorb Elements, Protection from Energy"
Perfect Disguise,1 Hr.,Self,Appearance changes from Disguise Self stand up to physical inspection and requires no concentration.,FALSE,"Disguise Self, Polymorph"
Perfect Crime,Up to 1 Hr.,30 Ft.,Appearance changes from Seeming stand up to physical inspection.,TRUE,"Seeming, Mass Polymorph"
Expulsion to the Elements,Up to 1 Min.,60 Ft.,The effect of Banishment sends the creature to an adjacent elemental plane of your choice.,TRUE,"Banishment, Plane Shift"
Expulsion from the Chronology,Instantaneous,Touch,Touch one creature currently acting within stopped time; they are ejected from stopped time.,FALSE,"Banishment, Time Stop"
Freedom of Chronology,Instantaneous,Touch,Touch one creature; they can now act during the continuous duration of stopped time. The same restrictions apply of the Time Stop they are acting within.,FALSE,"Haste, Freedom of Movement, Time Stop"
Stellar Screech,Instantaneous,120 Ft.,"The Fireball component of this spell requires 3 Fireballs. You conjure 3 orange orbs. Each orb streaks an orange laser originating from the caster across a surface in a 40 Ft. line within 120 Ft. Any creature caught in the laser must make a Dexterity saving throw, taking 10d6 fire damage and 4d6 force damage on a failure, or half as much damage on a successful one. Each laser leaves a glowing trail on the surface that detonates after 1 round in a 5 Ft. radius for 10d6 fire damage and 10d6 force damage.",FALSE,"Scorching Ray, Fireball, Disintegrate"
